Parameter,Time,Value,Global
F1,1.4000000000000001,390.0,False
F1,1.41,390.0,False
F1,1.42,390.0,False
F1,1.43,390.0,False
F1,1.44,390.0,False
F1,1.45,390.0,False
F1,1.46,390.0,False
F1,1.47,390.0,False
F1,1.48,390.0,False
F1,1.49,390.0,False
F1,1.5,390.0,False
F1,1.51,390.0,False
F1,1.52,390.0,False
F1,1.53,390.0,False
F1,1.54,391.42857142857144,False
F1,1.55,394.2857142857143,False
F1,1.56,398.57142857142856,False
F1,1.57,404.2857142857143,False
F1,1.58,411.42857142857144,False
F1,1.59,420.0,False
F1,1.6,430.0,False
F1,1.61,438.57142857142856,False
F1,1.62,445.7142857142857,False
F1,1.6300000000000001,451.42857142857144,False
F1,1.6400000000000001,455.7142857142857,False
F1,1.6500000000000001,458.57142857142856,False
F1,1.6600000000000001,460.0,False
F1,1.67,460.0,False
F1,1.68,460.0,False
F1,1.69,460.0,False
F1,1.7,460.0,False
F1,1.71,460.0,False
F1,1.72,460.0,False
F1,1.73,460.0,False
F1,1.74,460.0,False
F1,1.75,460.0,False
F1,1.76,460.0,False
F1,1.77,460.0,False
F1,1.78,460.0,False
F1,1.79,460.0,False
F1,1.8,460.0,False
F1,1.81,460.0,False
F1,1.82,460.0,False
F1,1.83,460.0,False
F1,1.84,460.0,False
F1,1.85,460.0,False
F1,1.86,460.0,False
F1,1.87,460.0,False
F1,1.8800000000000001,460.0,False
F1,1.8900000000000001,460.0,False
F1,1.9000000000000001,460.0,False
F1,1.9100000000000001,460.0,False
F1,1.92,460.0,False
F1,1.93,460.0,False
F1,1.94,460.0,False
F1,1.95,460.0,False
F1,1.96,460.0,False
F1,1.97,460.0,False
F1,1.98,460.0,False
F1,1.99,460.0,False
F1,2.0,460.0,False
F2,0,1189.2655367231637,False
F2,0.05,1090.0,False
F2,0.06,1090.0,False
F2,0.07,1090.0,False
F2,0.08,1090.0,False
F2,0.09,1090.0,False
F2,0.1,1090.0,False
F2,0.11,1090.0,False
F2,0.12,1090.0,False
F2,0.13,1090.0,False
F2,0.14,1090.0,False
F2,0.15,1090.0,False
F2,0.16,1090.0,False
F2,0.17,1090.0,False
F2,0.18,1090.0,False
F2,0.19,1090.0,False
F2,0.2,1090.0,False
F2,0.21,1090.0,False
F2,0.22,1090.0,False
F2,0.23,1090.0,False
F2,0.24,1090.0,False
F2,0.25,1090.0,False
F2,0.26,1090.0,False
F2,0.27,1090.0,False
F2,0.28,1090.0,False
F2,0.29,1090.0,False
F2,0.3,1090.0,False
F2,0.31,1090.0,False
F2,0.32,1090.0,False
F2,0.33,1090.0,False
F2,0.34,1114.4897959183675,False
F2,0.35000000000000003,1163.4693877551022,False
F2,0.36,1236.938775510204,False
F2,0.37,1334.8979591836737,False
F2,0.38,1457.3469387755104,False
F2,0.39,1604.2857142857142,False
F2,0.4,1775.7142857142858,False
F2,0.41000000000000003,1922.6530612244899,False
F2,0.42,2045.1020408163265,False
F2,0.43,2143.061224489796,False
F2,0.44,2216.530612244898,False
F2,0.45,2265.5102040816328,False
F2,0.46,2290.0,False
F2,0.47000000000000003,2290.0,False
F2,0.48,2290.0,False
F2,0.49,2290.0,False
F2,0.5,2290.0,False
F2,0.51,2290.0,False
F2,0.52,2290.0,False
F2,0.53,2290.0,False
F2,0.54,2290.0,False
F2,0.55,2290.0,False
F2,0.56,2290.0,False
F2,0.5700000000000001,2290.0,False
F2,0.58,2290.0,False
F2,0.59,2290.0,False
F2,0.6,2290.0,False
F2,0.61,2290.0,False
F2,0.62,2290.0,False
F2,0.63,2290.0,False
