Parameter,Time,Value,Global
AV,1.57,200.0,False
AV,1.58,200.0,False
AV,1.59,200.0,False
AV,1.6,200.0,False
AV,1.61,200.0,False
AV,1.62,200.0,False
AV,1.6300000000000001,200.0,False
AV,1.6400000000000001,200.0,False
AV,1.6500000000000001,200.0,False
AV,1.6600000000000001,200.0,False
AV,1.67,200.0,False
AV,1.68,200.0,False
AV,1.69,200.0,False
AV,1.7,200.0,False
AV,1.71,200.0,False
AV,1.72,200.0,False
AV,1.73,200.0,False
AV,1.74,200.0,False
AV,1.75,200.0,False
AV,1.76,200.0,False
AV,1.77,200.0,False
AV,1.78,200.0,False
AV,1.79,200.0,False
AV,1.8,200.0,False
AV,1.81,200.0,False
AV,1.82,200.0,False
AV,1.83,200.0,False
AV,1.84,200.0,False
AV,1.85,200.0,False
AV,1.86,200.0,False
AV,1.87,200.0,False
AV,1.8800000000000001,200.0,False
AV,1.8900000000000001,200.0,False
AV,1.9000000000000001,200.0,False
AV,1.9100000000000001,200.0,False
AV,1.92,200.0,False
AV,1.93,200.0,False
AV,1.94,200.0,False
AV,1.95,200.0,False
AV,1.96,200.0,False
AV,1.97,200.0,False
AV,1.98,200.0,False
AV,1.99,200.0,False
AV,2.0,200.0,False
Jitter,0,3.0,True
Shimmer,0,0.01,True
SHR,0,0.8,True
HNR,0,40.0,True
Slope,0,-10.0,True
H1H2,0,-10.0,True
F1,0.0,730.0,False
F1,0.01,730.0,False
F1,0.02,730.0,False
F1,0.03,730.0,False
F1,0.04,730.0,False
F1,0.05,730.0,False
F1,0.06,730.0,False
F1,0.07,730.0,False
F1,0.08,730.0,False
F1,0.09,730.0,False
F1,0.1,730.0,False
F1,0.11,730.0,False
F1,0.12,730.0,False
F1,0.13,730.0,False
F1,0.14,730.0,False
F1,0.15,730.0,False
F1,0.16,730.0,False
F1,0.17,730.0,False
F1,0.18,730.0,False
F1,0.19,730.0,False
F1,0.2,730.0,False
F1,0.21,730.0,False
F1,0.22,730.0,False
F1,0.23,730.0,False
F1,0.24,730.0,False
F1,0.25,730.0,False
F1,0.26,730.0,False
F1,0.27,730.0,False
F1,0.28,730.0,False
F1,0.29,730.0,False
F1,0.3,730.0,False
F1,0.31,730.0,False
F1,0.32,730.0,False
F1,0.33,730.0,False
F1,0.34,730.0,False
F1,0.35000000000000003,730.0,False
F1,0.36,730.0,False
F1,0.37,730.0,False
F1,0.38,730.0,False
F1,0.39,720.6122448979593,False
F1,0.4,701.8367346938776,False
F1,0.41000000000000003,673.6734693877552,False
F1,0.42,636.1224489795919,False
F1,0.43,589.1836734693878,False
F1,0.44,532.8571428571429,False
F1,0.45,467.1428571428572,False
F1,0.46,410.81632653061234,False
F1,0.47000000000000003,363.87755102040825,False
F1,0.48,326.32653061224494,False
F1,0.49,298.16326530612247,False
F1,0.5,279.38775510204084,False
F1,0.51,270.0,False
F1,0.52,270.0,False
F1,0.53,270.0,False
F1,0.54,270.0,False
F1,0.55,270.0,False
F1,0.56,270.0,False
F1,0.5700000000000001,270.0,False
F1,0.58,270.0,False
F1,0.59,270.0,False
F1,0.6,270.0,False
F1,0.61,270.0,False
F1,0.62,270.0,False
F1,0.63,270.0,False
F1,0.64,270.0,False
F1,0.65,270.0,False
F1,0.66,270.0,False
F1,0.67,270.0,False
F1,0.68,270.0,False
F1,0.6900000000000001,270.0,False
F1,0.7000000000000001,270.0,False
F1,0.71,270.0,False
F1,0.72,270.0,False
F1,0.73,270.0,False
F1,0.74,270.0,False
F1,0.75,270.61224489795916,False
F1,0.76,271.83673469387753,False
F1,0.77,273.67346938775506,False
F1,0.78,276.1224489795918,False
F1,0.79,279.18367346938777,False
F1,0.8,282.85714285714283,False
F1,0.81,287.14285714285717,False
F1,0.8200000000000001,290.81632653061223,False
F1,0.8300000000000001,293.8775510204082,False
F1,0.84,296.32653061224494,False
F1,0.85,298.16326530612247,False
F1,0.86,299.38775510204084,False
F1,0.87,300.0,False
F1,0.88,300.0,False
F1,0.89,300.0,False
F1,0.9,300.0,False
F1,0.91,300.0,False
F1,0.92,300.0,False
F1,0.93,300.0,False
F1,0.9400000000000001,300.0,False
F1,0.9500000000000001,300.22959183673464,False
F1,0.96,300.91836734693874,False
F1,0.97,302.2959183673469,False
F1,0.98,304.59183673469386,False
F1,0.99,308.0357142857142,False
F1,1.0,312.8571428571428,False
F1,1.01,319.2857142857142,False
F1,1.02,327.09183673469386,False
F1,1.03,335.8163265306122,False
F1,1.04,344.99999999999994,False
F1,1.05,354.18367346938766,False
F1,1.06,362.90816326530603,False
F1,1.07,370.71428571428567,False
F1,1.08,377.14285714285705,False
F1,1.09,381.96428571428567,False
F1,1.1,385.40816326530603,False
F1,1.11,387.70408163265296,False
F1,1.12,389.08163265306115,False
F1,1.1300000000000001,389.7704081632652,False
F1,1.1400000000000001,389.9999999999999,False
F1,1.1500000000000001,389.9999999999999,False
F1,1.16,389.9999999999999,False
F1,1.17,389.9999999999999,False
F1,1.18,389.9999999999999,False
F1,1.19,389.9999999999999,False
F1,1.2,389.9999999999999,False
F1,1.21,389.9999999999999,False
F1,1.22,389.9999999999999,False
F1,1.23,389.9999999999999,False
F1,1.24,389.9999999999999,False
F1,1.25,389.9999999999999,False
F1,1.26,389.9999999999999,False
F1,1.27,389.9999999999999,False
F1,1.28,389.9999999999999,False
F1,1.29,389.9999999999999,False
F1,1.3,389.9999999999999,False
F1,1.31,389.9999999999999,False
F1,1.32,389.9999999999999,False
F1,1.33,389.9999999999999,False
F1,1.34,389.9999999999999,False
F1,1.35,389.9999999999999,False
F1,1.36,389.9999999999999,False
F1,1.37,389.9999999999999,False
F1,1.3800000000000001,389.9999999999999,False
F1,1.3900000000000001,389.9999999999999,False
F1,1.4000000000000001,389.9999999999999,False
F1,1.41,389.9999999999999,False
F1,1.42,389.9999999999999,False
F1,1.43,389.9999999999999,False
F1,1.44,389.9999999999999,False
F1,1.45,389.9999999999999,False
F1,1.46,389.9999999999999,False
F1,1.47,389.9999999999999,False
F1,1.48,389.9999999999999,False
F1,1.49,389.9999999999999,False
F1,1.5,389.9999999999999,False
F1,1.51,389.9999999999999,False
F1,1.52,389.9999999999999,False
F1,1.53,389.9999999999999,False
F1,1.54,389.9999999999999,False
F1,1.55,389.9999999999999,False
F1,1.56,389.9999999999999,False
F1,1.57,389.9999999999999,False
F1,1.58,389.9999999999999,False
F1,1.59,389.9999999999999,False
F1,1.6,389.9999999999999,False
F1,1.61,389.9999999999999,False
F1,1.62,389.9999999999999,False
F1,1.6300000000000001,389.9999999999999,False
F1,1.6400000000000001,389.9999999999999,False
F1,1.6500000000000001,389.9999999999999,False
F1,1.6600000000000001,389.9999999999999,False
F1,1.67,389.9999999999999,False
F1,1.68,389.9999999999999,False
F1,1.69,389.9999999999999,False
F1,1.7,389.9999999999999,False
F1,1.71,389.9999999999999,False
F1,1.72,389.9999999999999,False
F1,1.73,389.9999999999999,False
F1,1.74,389.9999999999999,False
F1,1.75,389.9999999999999,False
F1,1.76,391.4285714285713,False
F1,1.77,394.28571428571416,False
F1,1.78,398.57142857142844,False
F1,1.79,404.28571428571416,False
F1,1.8,411.4285714285713,False
F1,1.81,419.9999999999999,False
F1,1.82,429.9999999999999,False
F1,1.83,438.57142857142844,False
F1,1.84,445.7142857142856,False
F1,1.85,451.4285714285713,False
F1,1.86,455.7142857142856,False
F1,1.87,458.57142857142844,False
F1,1.8800000000000001,459.9999999999999,False
F1,1.8900000000000001,459.9999999999999,False
F1,1.9000000000000001,459.9999999999999,False
F1,1.9100000000000001,459.9999999999999,False
F1,1.92,459.9999999999999,False
F1,1.93,459.9999999999999,False
F1,1.94,459.9999999999999,False
F1,1.95,459.9999999999999,False
F1,1.96,459.9999999999999,False
F1,1.97,459.9999999999999,False
F1,1.98,459.9999999999999,False
F1,1.99,459.9999999999999,False
F1,2.0,459.9999999999999,False
F2,0.0,1090.0,False
F2,0.01,1090.0,False
F2,0.02,1090.0,False
F2,0.03,1090.0,False
F2,0.04,1090.0,False
F2,0.05,1090.0,False
F2,0.06,1090.0,False
F2,0.07,1090.0,False
F2,0.08,1090.0,False
F2,0.09,1090.0,False
F2,0.1,1090.0,False
