Parameter,Time,Value,Global
AV,1.6600000000000001,200.0,False
AV,1.67,200.0,False
AV,1.68,200.0,False
AV,1.69,200.0,False
AV,1.7,200.0,False
AV,1.71,200.0,False
AV,1.72,200.0,False
AV,1.73,200.0,False
AV,1.74,200.0,False
AV,1.75,200.0,False
AV,1.76,200.0,False
AV,1.77,200.0,False
AV,1.78,200.0,False
AV,1.79,200.0,False
AV,1.8,200.0,False
AV,1.81,200.0,False
AV,1.82,200.0,False
AV,1.83,200.0,False
AV,1.84,200.0,False
AV,1.85,200.0,False
AV,1.86,200.0,False
AV,1.87,200.0,False
AV,1.8800000000000001,200.0,False
AV,1.8900000000000001,200.0,False
AV,1.9000000000000001,200.0,False
AV,1.9100000000000001,200.0,False
AV,1.92,200.0,False
AV,1.93,200.0,False
AV,1.94,200.0,False
AV,1.95,200.0,False
AV,1.96,200.0,False
AV,1.97,200.0,False
AV,1.98,200.0,False
AV,1.99,200.0,False
AV,2.0,200.0,False
Jitter,0,0.1,True
Shimmer,0,0.01,True
SHR,0,0.0,True
HNR,0.0,22.0,False
HNR,2.0,22.0,False
Slope,0.0,-11.0,False
Slope,2.0,-11.0,False
H1H2,0.0,10.0,False
H1H2,2.0,10.0,False
F1,0.0,730.0,False
F1,0.01,730.0,False
F1,0.02,730.0,False
F1,0.03,730.0,False
F1,0.04,730.0,False
F1,0.05,730.0,False
F1,0.06,730.0,False
F1,0.07,730.0,False
F1,0.08,730.0,False
F1,0.09,730.0,False
F1,0.1,730.0,False
F1,0.11,730.0,False
F1,0.12,730.0,False
F1,0.13,730.0,False
F1,0.14,730.0,False
F1,0.15,730.0,False
F1,0.16,730.0,False
F1,0.17,730.0,False
F1,0.18,730.0,False
F1,0.19,730.0,False
F1,0.2,730.0,False
F1,0.21,730.0,False
F1,0.22,730.0,False
F1,0.23,730.0,False
F1,0.24,701.25,False
F1,0.25,643.75,False
F1,0.26,557.5,False
F1,0.27,442.5,False
F1,0.28,356.25,False
F1,0.29,298.75,False
F1,0.3,270.0,False
F1,0.31,270.0,False
F1,0.32,270.0,False
F1,0.33,270.0,False
F1,0.34,270.0,False
F1,0.35000000000000003,270.0,False
F1,0.36,270.0,False
F1,0.37,270.0,False
F1,0.38,270.0,False
F1,0.39,270.0,False
F1,0.4,270.0,False
F1,0.41000000000000003,270.0,False
F1,0.42,270.0,False
F1,0.43,270.0,False
F1,0.44,270.0,False
F1,0.45,270.0,False
F1,0.46,270.0,False
F1,0.47000000000000003,270.0,False
F1,0.48,270.0,False
F1,0.49,270.0,False
F1,0.5,270.0,False
F1,0.51,270.0,False
F1,0.52,270.0,False
F1,0.53,270.0,False
F1,0.54,270.0,False
F1,0.55,270.0,False
F1,0.56,270.0,False
F1,0.5700000000000001,270.0,False
F1,0.58,270.0,False
F1,0.59,270.0,False
F1,0.6,270.0,False
F1,0.61,270.0,False
F1,0.62,270.0,False
F1,0.63,270.0,False
F1,0.64,270.0,False
F1,0.65,270.0,False
F1,0.66,270.0,False
F1,0.67,270.0,False
F1,0.68,270.0,False
F1,0.6900000000000001,270.0,False
F1,0.7000000000000001,270.0,False
F1,0.71,270.0,False
F1,0.72,270.0,False
F1,0.73,270.0,False
F1,0.74,270.0,False
F1,0.75,270.15625,False
F1,0.76,270.625,False
F1,0.77,271.5625,False
F1,0.78,273.125,False
